Force;Termes;Vitesse en n?uds;Vitesse en kilomŠtres par heure;tat de la mer;Effets … terre (… 10 m de hauteur, en terrain plat et … d‚couvert)
0;Calme;moins de 1;moins de 1;La mer est comme un miroir lisse et sans vague.;La fum‚e monte verticalement. Les feuilles des arbres ne t‚moignent d'aucun mouvement.
1;TrŠs l‚gŠre brise;1 … 3;1 … 5;Quelques rides (appel‚es ris‚e ou risette) ressemblant … des ‚cailles de poisson mais sans aucune ‚cume. Vagues de 0 … 0.2 m.;La fum‚e indique la direction du vent. Les girouettes ne s'orientent pas.
2;L‚gŠre brise;4 … 6;6 … 11;Vaguelettes ne d‚ferlant pas de 0.2 … 0.5ÿm.;On sent le vent sur le visage. Les feuilles s'agitent. Les girouettes s'orientent.
3;Petite brise;7 … 10;12 … 19;TrŠs petites vagues de 0.5 … 1ÿm. Les crˆtes d'‚cume blanche (appel‚es moutons) commencent … d‚ferler ‡… et l…. cume avec un aspect vitreux.;Les drapeaux flottent au vent. Les feuilles sont sans cesse en mouvement.
4;Jolie brise;11 … 16;20 … 28;Petites vagues de 1 … 2ÿm avec de nombreux moutons.;Les poussiŠres s'envolent. Les petites branches plient.
5;Bonne brise;17 … 21;29 … 38;Vagues mod‚r‚es 2 … 3ÿm. Moutons. Eventuellement embruns.;Le tronc des arbustes et arbrisseaux en feuilles balance. La cime de tous les arbres est agit‚e. Des vaguelettes se forment sur les eaux int‚rieures.
6;Vent frais[2];22 … 27;39 … 49;Crˆtes d'‚cume blanches. Lames. Embruns. Vagues de 3 … 4ÿm.;On entend siffler le vent. Les branches de large diamŠtre s'agitent. Les parapluies sont susceptibles de se retourner.
7;Grand frais[3];28 … 33;50 … 61;Train‚es d'‚cume. Lames d‚ferlantes. Vagues de 4 … 5.5ÿm.;Tous les arbres balancent. La marche contre le vent peut devenir difficile.
8;Coup de vent;34 … 40;62 … 74;Tourbillons d'‚cume … la crˆte des lames. Train‚es d'‚cume. Vagues de 5.5 … 7.5ÿm;Les branches sont susceptibles de casser. La marche contre le vent est trŠs difficile. Voire impossible.
9;Fort coup de vent;41 … 47;75 … 88;Lames d‚ferlantes grosses … ‚normes. visibilit‚ r‚duite par les embruns. vagues de 7 … 10ÿm.;Le vent peut l‚gŠrement endommager les bƒtimentsÿ: envols de tuiles et d'ardoises. Chutes de chemin‚es.
10;Tempˆte;48 … 55;89 … 102;Conditions exceptionnellesÿ: TrŠs grosses lames … longue crˆte en panache. L'‚cume produite s'agglomŠre en larges bancs et est souffl‚e dans le lit du vent en ‚paisses train‚es blanches. La surface des eaux semble blanche dans son ensemble. Le d‚ferlement en rouleaux devient intense et brutal. Visibilit‚ r‚duite. Vagues de 9 … 12.5ÿm.;D‚gƒts importants aux bƒtiments. Les toits sont susceptibles de s'envoler. Certains arbres sont d‚racin‚s.
11;Violente tempˆte;56 … 63;103 … 117;Conditions exceptionnellesÿ: Lames exceptionnellement hautes (les navires de petit et moyen tonnage peuvent par instant ˆtre perdus de vue). La mer est complŠtement recouverte de bancs d'‚cume blanche ‚long‚s dans la direction du vent. Le bord de la crˆte des lames est partout souffl‚ et donne de la mousse. Visibilit‚ r‚duite. Vagues de 11.5 … 16ÿm.;Ravages ‚tendus et importants.
12;Ouragan ou bombe m‚t‚orologique au-dessus du 40e parallŠle;‚gal ou sup‚rieur … 64;sup‚rieur … 118;Conditions exceptionnelles dues aux vents qui soufflent … plus de 120 km/hÿ: l'air est plein d'embruns. La mer est entiŠrement blanche du fait des bancs d'‚cume d‚rivants. Visibilit‚ fortement r‚duite. Vagues sup‚rieures … 14ÿm.;D‚gƒts trŠs importants de l'ordre de la catastrophe naturelle.
