,city,lat,lng
0,Sydney,-33.865,151.2094
1,Melbourne,-37.8136,144.9631
2,Brisbane,-27.4678,153.0281
3,Perth,-31.9522,115.8589
4,Adelaide,-34.9275,138.6
5,Canberra,-35.2931,149.1269
6,Wollongong,-34.4331,150.8831
7,Hobart,-42.8806,147.325
8,Townsville,-19.25,146.8167
9,Newcastle,-32.9167,151.75
10,Cairns,-16.92,145.78
11,Darwin,-12.4381,130.8411
12,Launceston,-41.4419,147.145
13,Ballarat,-37.5608,143.8475
14,Bendigo,-36.75,144.2667
15,Mildura,-34.1889,142.1583
16,Albany,-35.0228,117.8814
17,Penrith,-33.7511,150.6942
18,Sale,-38.1,147.0667
19,Moree,-29.465,149.8344
20,Portland,-38.3333,141.6
21,Nuriootpa,-34.4667,138.9833
22,Albury,-36.0806,146.9158
23,Richmond,-33.5983,150.7511
24,Richmond,-20.7305,143.1425
25,Katherine,-14.4667,132.2667
26,Woomera,-31.1496,136.8
27,AliceSprings,-23.7000,133.8667
28,BadgerysCreek,-33.8835,150.7414
29,Cobar,-31.4991,145.8461
30,CoffsHarbour,-30.2963,153.1139
31,Dartmoor,-37.9246,141.2705
32,GoldCoast,-28.0022,153.4263
33,MelbourneAirport,-37.6738,144.8422
34,MountGambier,-37.8284,140.7807
35,MountGinini,-35.5298,148.7714
36,Nhil,-36.3372,141.6459
37,NorahHead,-33.2741,151.5613
38,NorfolkIsland,-29.0372,167.9529
39,PearceRAAF,-35.3627,149.0831
40,PerthAirport,-31.9387,115.9680
41,SalmonGums,-32.9802,121.6426
42,SydneyAirport,-33.9459,151.1816
43,Tuggeranong,-35.5722,149.1340
44,Uluru,-25.3443,131.0322
45,WaggaWagga,-35.1171,147.3568
46,Walpole,-34.9756,116.7351
47,Watsonia,-37.7086,145.0831
48,Williamtown,-32.8046,151.8508
49,Witchcliffe,-34.0253,115.1000